TranactionCode,TransactionDate,CancelDate,TransactonNumber,CheckNumber,Payee,ReferenceNumber,CurrencyCode,BankID,ReferenceNumber,OutstandingBalance,CanceledAmount
WAR – Securities Related Item – Warrant,1/8/2012,1/18/2012,702896553,9,Checking Costs,87996666,EUR,0515-0339-4,87996666,12365788.76,16.45
RED – Securities Related Item – Redemption/Withdrawal,1/16/2012,2/4/2012,65796735,3,Checking Costs,91477246,EUR,2631-9138-7,91477246,13163765.24,934.42
CLR – Cash letters/Cheques remittance,1/19/2012,2/7/2012,419352741,11,Checking Costs,48993650,EUR,0312-0471-0,48993650,5489319.11,1720.19
EXT – Securities Related Item – External transfer for own account,1/11/2012,1/12/2012,45827734,12,Misc.,7652913,JPY,0312-0471-0,7652913,16688833.26,2490.9
SUB – Securities Related Item – Subscription,1/23/2012,2/4/2012,935859822,9,Other,67691659,USD,0313-0912-3,67691659,17484593.02,5720.99
CPN – Securities Related Item – Coupon payments,1/13/2012,1/20/2012,73545250,7,Replenishment,4623813,USD,0515-0339-4,4623813,2889657.43,1862.75
PRN – Securities Related Item – Principal pay-down/pay-up,1/4/2012,1/29/2012,632889197,4,Deposits,97915142,GBP,0532-0160-7,97915142,17195976.94,2487.92
TRN – Securities Related Item – Transaction fee,1/24/2012,2/13/2012,732373374,5,Deposits,70825557,EUR,0839-0068-0,70825557,17154355.33,3097.16
CMN – Cash management item – Notional pooling,1/14/2012,2/4/2012,273619974,6,Other,6661127,USD,0642-0816-5,6661127,12191566.22,2717.01
TAX – Securities Related Item – Withholding tax payment,1/22/2012,2/15/2012,229199136,2,Replenishment,74048459,GBP,0839-0068-0,74048459,3553561.13,4377.05
NWI – Securities Related Item – New issues distribution,1/29/2012,2/27/2012,662253817,9,Replenishment,82568355,GBP,0531-0112-1,82568355,5136084.35,306.49
LDP – Loan deposit,1/13/2012,1/15/2012,688148906,3,Citibank,29488629,USD,0839-0068-0,29488629,10583444.81,853.06
TAX – Securities Related Item – Withholding tax payment,1/8/2012,1/8/2012,495716126,3,Misc.,767418,EUR,0540-0154-7,767418,3475595.07,1009.75
NWI – Securities Related Item – New issues distribution,1/10/2012,1/26/2012,485627415,1,Service Charge,15927277,USD,0540-0154-7,15927277,6321318.63,4615.97
STP – Securities Related Item – Stamp duty,1/11/2012,1/20/2012,212764383,2,Investment deposit,10918653,USD,1110-1769-4,10918653,9770873.7,4461.56
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/6/2012,1/31/2012,579091946,1,Misc.,93740152,GBP,0313-0912-3,93740152,16167252.07,1677.62
DIS – Securities Related Item – Gains disbursement,1/13/2012,1/30/2012,191973099,9,Service Charge,18983443,JPY,0532-0160-7,18983443,5984429.13,2414.58
COM – Commission,1/4/2012,1/5/2012,871177908,4,Other,4807974,JPY,0839-0068-0,4807974,15663325.31,2585.43
BRF – Brokerage fee,1/26/2012,2/10/2012,110757707,5,Other,20787496,EUR,0540-0154-7,20787496,14002411.31,4914.42
DDT – Direct Debit Item,1/21/2012,2/7/2012,496028252,5,Misc.,23348370,JPY,0514-0426-0,23348370,14803060.94,3944.9
TRF – Transfer,1/20/2012,2/9/2012,834810780,8,Service Charge,64522499,JPY,0421-0226-7,64522499,14714788.06,3932.18
STO – Standing order,1/27/2012,2/23/2012,732832827,4,Checking Costs,65032048,GBP,0515-0339-4,65032048,2385676.61,4312.45
LBX – Lock box,1/22/2012,2/12/2012,923542181,4,Replenishment,93435728,GBP,0611-1341-5,93435728,10810652.26,4026.73
CHG – Charges and other expenses,1/5/2012,1/6/2012,54724730,6,Investment deposit,21334740,JPY,0550-0330-8,21334740,14965336.46,3988.76
SLE – Securities Related Item – Securities lending related,1/16/2012,2/14/2012,546397877,5,Checking Costs,40376653,USD,0515-0339-4,40376653,9877674.26,2555.38
DIS – Securities Related Item – Gains disbursement,1/29/2012,2/15/2012,13474927,5,Replenishment,43272458,GBP,2631-9138-7,43272458,17017321.69,1103.26
COM – Commission,1/29/2012,2/15/2012,2651732,3,Misc.,27809016,JPY,0514-0426-0,27809016,8671005.5,5809.03
REC – Securities Related Item – Tax reclaim,1/7/2012,2/2/2012,23179767,8,Checking Costs,52770922,JPY,0550-0330-8,52770922,4914554.65,5622.24
PRN – Securities Related Item – Principal pay-down/pay-up,1/2/2012,1/12/2012,400795785,3,Checking Costs,76982242,USD,0531-0112-1,76982242,3979891.93,1914.79
FEX – Foreign exchange,1/5/2012,1/15/2012,564121712,2,Other,8399166,USD,1110-1769-4,8399166,3066781.44,6458.83
REC – Securities Related Item – Tax reclaim,1/25/2012,2/18/2012,760641935,9,Checking Costs,59992332,EUR,0540-0154-7,59992332,7109476.85,2174.4
STO – Standing order,1/28/2012,2/2/2012,616136806,1,Investment deposit,97932381,EUR,0515-0339-4,97932381,7653377.91,4124.4
UWC – Securities Related Item – Underwriting commission,1/29/2012,2/22/2012,311222985,8,Misc.,2024338,EUR,0531-0112-1,2024338,13506656.65,2615.79
BNK – Securities Related Item – Bank fees,1/10/2012,1/11/2012,871171303,4,Replenishment,50722327,EUR,0313-0912-3,50722327,271941.87,4633.67
TAX – Securities Related Item – Withholding tax payment,1/24/2012,2/16/2012,903139644,2,Replenishment,67748041,JPY,0839-0068-0,67748041,14219464.35,58.62
NWI – Securities Related Item – New issues distribution,1/10/2012,1/17/2012,933220614,6,Replenishment,12802190,GBP,0531-0112-1,12802190,18381354.78,4264.85
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/30/2012,2/28/2012,258584816,4,Service Charge,18501657,GBP,0642-0816-5,18501657,2877668.33,5517.87
COL – Collections (used when entering a principal amount),1/6/2012,1/21/2012,301503728,7,Investment deposit,82105896,EUR,0532-0160-7,82105896,3658074.37,6156.53
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/28/2012,2/17/2012,547516385,6,Investment deposit,23613287,GBP,0642-0816-5,23613287,18227792.59,4637.31
RIG – Securities Related Item – Rights,1/23/2012,2/2/2012,479147902,5,Citibank,43106052,JPY,0531-0112-1,43106052,1276929.89,4231.66
EXT – Securities Related Item – External transfer for own account,1/2/2012,1/24/2012,36512802,6,Deposits,44692773,USD,2631-9138-7,44692773,11143857.43,1338.75
DDT – Direct Debit Item,1/25/2012,2/10/2012,848751505,2,Other,6445029,EUR,0313-0912-3,6445029,10067896.96,5102.16
CMS – Cash management item – Sweeping,1/25/2012,2/7/2012,621453088,3,Citibank,66539750,EUR,0550-0330-8,66539750,1752383.33,2698.81
SUB – Securities Related Item – Subscription,1/18/2012,1/20/2012,708914966,8,Transfer,13391208,GBP,0642-0816-5,13391208,9746456.22,3724.86
CPN – Securities Related Item – Coupon payments,1/30/2012,2/14/2012,7913916,8,Investment deposit,57910467,JPY,0622-0398-4,57910467,9389503.22,1430.29
COM – Commission,1/7/2012,1/18/2012,723102796,4,Replenishment,52313931,GBP,0421-0226-7,52313931,13276967.93,6419.18
CAS – Securities Related Item – Cash in Lieu,1/29/2012,2/14/2012,887894772,5,Citibank,39165601,EUR,1110-1769-4,39165601,17316719.57,75.4
TRF – Transfer,1/16/2012,2/12/2012,847143124,7,Checking Costs,57368385,USD,0532-0160-7,57368385,17414784.17,1144.13
CMZ – Cash management item – Zero balancing,1/4/2012,1/25/2012,759147414,8,Other,30252894,USD,0550-0330-8,30252894,10263255.61,3024.7
UWC – Securities Related Item – Underwriting commission,1/7/2012,1/22/2012,563878527,3,Transfer,17768571,JPY,0515-0339-4,17768571,12918575.98,5822.33
STO – Standing order,1/23/2012,1/26/2012,626140626,7,Replenishment,19438972,JPY,2631-9138-7,19438972,15163370.76,4352.32
CPN – Securities Related Item – Coupon payments,1/28/2012,2/10/2012,998152888,9,Service Charge,94365378,JPY,0515-0339-4,94365378,9823308.52,6157.51
LDP – Loan deposit,1/15/2012,1/29/2012,980760954,6,Citibank,1036891,USD,0515-0339-4,1036891,7301565.61,1542.32
NWI – Securities Related Item – New issues distribution,1/6/2012,2/1/2012,123168313,2,Transfer,11463469,USD,0550-0330-8,11463469,17855644.3,226.16
BOE – Bill of exchange,1/9/2012,1/11/2012,323720701,3,Transfer,28568820,USD,0642-0816-5,28568820,7335556.35,4363.9
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/6/2012,1/31/2012,532459755,1,Other,19488505,USD,2631-9138-7,19488505,6471034.19,5879.9
MAR – Securities Related Item – Margin payments/Receipts,1/24/2012,2/21/2012,743997959,1,Checking Costs,7760873,EUR,0540-0154-7,7760873,15375730.11,4478.01
MGT – Securities Related Item – Management fees,1/30/2012,2/18/2012,377330754,6,Misc.,64820797,JPY,0540-0154-7,64820797,2638236.85,552.39
DIV – Securities Related Item – Dividends,1/27/2012,1/27/2012,54012865,3,Checking Costs,76305192,JPY,1110-1769-4,76305192,8486093.87,2911.53
MGT – Securities Related Item – Management fees,1/20/2012,2/16/2012,645928996,9,Misc.,55039153,GBP,0839-0068-0,55039153,11753070.74,1368.67
STP – Securities Related Item – Stamp duty,1/11/2012,1/18/2012,819171656,5,Investment deposit,90401349,EUR,1110-1769-4,90401349,5735247.56,1293.01
SUB – Securities Related Item – Subscription,1/26/2012,2/1/2012,856681620,3,Other,88533411,JPY,0532-0160-7,88533411,1562467.28,5727.9
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/1/2012,1/28/2012,817064072,8,Misc.,68413962,JPY,0622-0398-4,68413962,3283349.41,6440.52
TAX – Securities Related Item – Withholding tax payment,1/4/2012,1/4/2012,51854280,7,Service Charge,77824699,JPY,0611-1341-5,77824699,672575.3,4831.58
TRA – Securities Related Item – Internal transfer for own account,1/14/2012,1/26/2012,969031232,6,Other,38135444,GBP,0531-0112-1,38135444,14692596.48,4641.2
CMZ – Cash management item – Zero balancing,1/19/2012,1/21/2012,708595078,4,Service Charge,48863963,GBP,0514-0426-0,48863963,4155590.35,3445.48
BOE – Bill of exchange,1/5/2012,1/7/2012,115297417,13,Replenishment,79350857,USD,0312-0471-0,79350857,15198370.02,5899.66
SEC – Securities (used when entering a principal amount),1/8/2012,1/15/2012,910540025,5,Checking Costs,41419689,EUR,0514-0426-0,41419689,13834600.5,3525.25
RTI – Returned item,1/6/2012,1/24/2012,725500294,3,Other,4626893,GBP,1110-1769-4,4626893,16165330.89,499.21
EQA – Equivalent amount,1/6/2012,1/22/2012,187960309,9,Replenishment,66314947,GBP,1110-1769-4,66314947,14069120.63,5800.68
BRF – Brokerage fee,1/12/2012,1/22/2012,345993362,9,Transfer,16903961,EUR,0550-0330-8,16903961,12750766.74,146.84
DDT – Direct Debit Item,1/28/2012,1/28/2012,943667757,8,Investment deposit,20377895,USD,0421-0226-7,20377895,10600387.02,4787.84
TCM – Securities Related Item – Tripartite collateral management,1/19/2012,2/4/2012,579455933,9,Investment deposit,94335319,GBP,2631-9138-7,94335319,5111174.76,5029.18
CHK – Cheques,1/24/2012,2/6/2012,874222671,5,Checking Costs,90014179,JPY,0839-7428-9,90014179,17338343.2,99999
LDP – Loan deposit,1/7/2012,1/20/2012,823794114,3,Misc.,98272975,USD,0839-7428-9,98272975,1590696.81,4594.77
SUB – Securities Related Item – Subscription,1/17/2012,1/27/2012,811744961,4,Replenishment,36394841,USD,0642-0816-5,36394841,17050830.76,5194.66
OPT – Securities Related Item – Options,1/28/2012,1/31/2012,470425109,1,Deposits,37122807,EUR,0515-0339-4,37122807,5281945.35,4722.06
BRF – Brokerage fee,1/16/2012,2/13/2012,410086360,5,Other,84751866,GBP,0531-0112-1,84751866,8485738.69,2994.29
BOE – Bill of exchange,1/14/2012,1/22/2012,186134471,5,Misc.,91869451,EUR,0611-1341-5,91869451,13620931.15,550.13
CMT – Cash management item -Topping,1/23/2012,2/9/2012,860348852,9,Other,93626625,USD,0622-0398-4,93626625,17369655.72,373.28
