RunDate,PickupLocation,DropoffLocation,Primary,Seconday,VehicleType,EventType,Overnight,TipGrade, CustomerType, Guide, Issues, TypeOfPayment
10/10/7,East Brady,Boswell,Philadelphia Zoo ,Philadelphia Zoo ,Limo Bus ,Private ,Yes ,None ,School District - New ,Yes ,Moving or Traffic Violation ,Personal Credit Card
2/11/12,New Paris,Gilberton,Kennywood Park ,Kennywood Park ,Van ,Corporate ,No ,Low ,Individual - Existing ,No ,Personal ,Rewards
5/2/2,Adams,New Paris,Philadelphia Zoo ,Philadelphia Zoo ,Stretch ,Cruise ,No ,Low ,Religous - New ,No ,Driver Error or Miscalculation ,Check
10/7/5,Adams,Fairview,Waldameer and Water World ,Waldameer and Water World ,Church Bus ,Corporate ,Yes ,Low ,Corporate - New ,No ,Health Related ,Check
12/2/5,Gilberton,Cassandra,Waldameer and Water World ,Waldameer and Water World ,Min Bus ,Wedding ,No ,Medium ,Individual - New ,Yes ,Driver Error or Miscalculation ,Invoiced
7/7/2,Gilberton,Yorkana,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Min Bus ,Holiday ,No ,None ,Individual - New ,No ,Health Related ,Credit
6/3/3,Big Run,Cassandra,Dorney Park ,Dorney Park ,Hummer Limo ,Wedding ,No ,Medium ,Religous - New ,Yes ,Weather ,Cash
8/11/6,East Brady,Adams,Philadelphia Zoo ,Philadelphia Zoo ,Towne Car ,Cruise ,Yes ,Medium ,School District - New ,No ,Health Related ,Rewards
6/2/11,Cassandra,East Brady,Liberty Bell ,Liberty Bell ,Hummer Limo ,Funeral ,No ,Medium ,Religous - New ,No ,Personal ,Personal Credit Card
12/1/11,East Brady,Boswell,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Sporting Event ,Yes ,None ,School District - Existing ,No ,Moving or Traffic Violation ,Invoiced
10/12/10,Yorkana,Gilberton,Waldameer and Water World ,Waldameer and Water World ,Van ,Funeral ,No ,Medium ,Corporate - Existing ,Yes ,Personal ,Personal Credit Card
6/8/11,East Brady,Big Run,Waldameer and Water World ,Waldameer and Water World ,Van ,Holiday ,No ,Low ,Corporate - Existing ,Yes ,Health Related ,Invoiced
5/1/2,Adams,East Brady,Hershey park ,Hershey park ,Towne Car ,Funeral ,No ,High ,School District - Existing ,No ,Weather ,Check
12/8/5,Adams,McVeytown,Dorney Park ,Dorney Park ,Hummer Limo ,Graduation ,No ,Low ,Corporate - Existing ,No ,Driver Error or Miscalculation ,Cash
6/7/6,Liverpool,Jefferson,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Ford Excursion ,Graduation ,Yes ,None ,Individual - Existing ,Yes ,Health Related ,Invoiced
1/10/8,Adams,Boswell,Liberty Bell ,Liberty Bell ,Mini Van ,Sporting Event ,No ,None ,Individual - Existing ,No ,Maintenance ,Rewards
7/9/12,Liverpool,McVeytown,Dutch Wonderland ,Dutch Wonderland ,Mini Van ,Cruise ,Yes ,None ,Individual - Existing ,No ,Health Related ,Rewards
11/3/2,Fairview,Jefferson,lost river caverns ,lost river caverns ,Ford Excursion ,Wedding ,Yes ,High ,Religous - Existing ,No ,Health Related ,Invoiced
8/6/12,Boswell,Liverpool,lost river caverns ,lost river caverns ,Green Limo ,Corporate ,No ,Low ,Corporate - Existing ,No , ,Invoiced
9/7/2,Yorkana,New Paris,Dorney Park ,Dorney Park ,Church Bus ,Private ,No ,Low ,Corporate - New ,No ,Moving or Traffic Violation ,Credit
11/11/5,Cassandra,Adams,Philadelphia Zoo ,Philadelphia Zoo ,Green Limo ,Private ,No ,Low ,Individual - Existing ,Yes ,Maintenance ,Personal Credit Card
1/1/1,Big Run,Jefferson,Sesame Place ,Sesame Place ,Stretch ,Funeral ,No ,Low ,Individual - New ,Yes ,Maintenance ,Personal Credit Card
8/2/5,New Paris,East Brady,Dorney Park ,Dorney Park ,Sedan ,Corporate ,Yes ,High ,Religous - New ,No ,Moving or Traffic Violation ,Rewards
9/10/11,Liverpool,Yorkana,lost river caverns ,lost river caverns ,Towne Car ,Graduation ,Yes ,High ,School District - Existing ,No ,Health Related ,Rewards
6/2/9,Boswell,Boswell,Liberty Bell ,Liberty Bell ,School Bus ,Private ,Yes ,None ,School District - Existing ,Yes ,Accident ,Rewards
8/7/12,Gilberton,Fairview,Gettysburg ,Gettysburg ,Green Limo ,Private ,Yes ,None ,School District - Existing ,Yes ,Health Related ,Cash
6/1/5,Adams,Jefferson,Hershey park ,Hershey park ,Hummer Limo ,Anniversary ,Yes ,High ,Corporate - Existing ,No ,Maintenance ,Cash
4/4/3,Jefferson,Jefferson,Kennywood Park ,Kennywood Park ,Min Bus ,Holiday ,No ,Low ,Individual - Existing ,No ,Driver Error or Miscalculation ,Cash
6/4/4,Cassandra,Cassandra,Philadelphia Zoo ,Philadelphia Zoo ,Sedan ,Corporate ,Yes ,None ,Individual - Existing ,Yes ,Health Related ,Check
11/5/6,Yorkana,McVeytown,Waldameer and Water World ,Waldameer and Water World ,Church Bus ,Birthday ,Yes ,Low ,Individual - New ,Yes ,Moving or Traffic Violation ,Check
9/2/5,Cassandra,Liverpool,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Sedan ,Funeral ,No ,High ,Religous - Existing ,Yes ,Maintenance ,Invoiced
4/4/9,Liverpool,Big Run,lost river caverns ,lost river caverns ,Hummer Limo ,Travel/Airport ,No ,Low ,Individual - New ,No , ,Rewards
9/6/6,Cassandra,Liverpool,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Sedan ,Birthday ,No ,High ,Corporate - New ,Yes ,Accident ,Personal Credit Card
8/3/3,Big Run,Fairview,Gettysburg ,Gettysburg ,Ford Excursion ,Holiday ,No ,Low ,Religous - New ,Yes ,Maintenance ,Cash
1/11/5,Boswell,Jefferson,Gettysburg ,Gettysburg ,Hummer Limo ,Corporate ,No ,Medium ,Individual - Existing ,Yes , ,Check
10/12/10,Jefferson,Yorkana,Liberty Bell ,Liberty Bell ,Min Bus ,Birthday ,No ,Medium ,School District - New ,Yes ,Health Related ,Rewards
9/6/9,Big Run,Liverpool,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Green Limo ,Cruise ,Yes ,None ,Corporate - Existing ,Yes ,Driver Error or Miscalculation ,Cash
2/5/11,Liverpool,Gilberton,Waldameer and Water World ,Waldameer and Water World ,Limo Bus ,Funeral ,Yes ,High ,Individual - New ,No , ,Rewards
3/6/11,Fairview,Gilberton,Hershey park ,Hershey park ,Church Bus ,Birthday ,Yes ,High ,Corporate - New ,Yes ,Health Related ,Personal Credit Card
12/11/7,Jefferson,New Paris,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Min Bus ,Birthday ,No ,High ,School District - New ,No ,Maintenance ,Credit
5/10/7,East Brady,East Brady,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Ford Excursion ,Graduation ,No ,None ,Individual - New ,Yes ,Accident ,Rewards
9/9/12,Gilberton,Fairview,Dorney Park ,Dorney Park ,Stretch ,Tour ,Yes ,None ,Religous - New ,Yes ,Driver Error or Miscalculation ,Invoiced
8/1/2,Adams,Adams,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,School Bus ,Anniversary ,Yes ,Low ,Corporate - New ,Yes ,Health Related ,Rewards
2/12/1,Big Run,Big Run,Dutch Wonderland ,Dutch Wonderland ,Sedan ,Travel/Airport ,Yes ,None ,Religous - New ,Yes ,Moving or Traffic Violation ,Personal Credit Card
3/5/8,Cassandra,Yorkana,Dutch Wonderland ,Dutch Wonderland ,Stretch ,Wedding ,Yes ,Medium ,Religous - New ,Yes , ,Invoiced
6/6/4,Fairview,Big Run,Dorney Park ,Dorney Park ,School Bus ,Graduation ,No ,High ,School District - New ,Yes ,Health Related ,Credit
11/12/3,Adams,McVeytown,Sesame Place ,Sesame Place ,School Bus ,Sporting Event ,Yes ,Medium ,Religous - Existing ,No ,Health Related ,Invoiced
4/7/10,Boswell,Jefferson,Dutch Wonderland ,Dutch Wonderland ,Sedan ,Wedding ,Yes ,Medium ,School District - Existing ,No , ,Cash
7/4/9,Adams,Jefferson,Gettysburg ,Gettysburg ,Stretch ,Sporting Event ,Yes ,High ,Religous - Existing ,No ,Maintenance ,Credit
6/5/2,Jefferson,Adams,lost river caverns ,lost river caverns ,Stretch ,Birthday ,Yes ,None ,Corporate - Existing ,Yes ,Maintenance ,Credit
12/5/2,Boswell,Jefferson,Kennywood Park ,Kennywood Park ,Ford Excursion ,Anniversary ,No ,None ,Religous - Existing ,Yes ,Driver Error or Miscalculation ,Invoiced
3/4/9,Cassandra,Cassandra,Liberty Bell ,Liberty Bell ,Stretch ,Graduation ,Yes ,Medium ,Religous - Existing ,No , ,Check
5/2/5,Fairview,Liverpool,Kennywood Park ,Kennywood Park ,Van ,Tour ,Yes ,Medium ,Corporate - Existing ,Yes ,Weather ,Personal Credit Card
7/4/1,Cassandra,Big Run,lost river caverns ,lost river caverns ,Hummer Limo ,Cruise ,No ,None ,School District - Existing ,No ,Weather ,Cash
6/11/2,Cassandra,Fairview,Sesame Place ,Sesame Place ,Stretch ,Anniversary ,Yes ,Medium ,Individual - New ,Yes ,Personal ,Personal Credit Card
9/7/3,Adams,McVeytown,Liberty Bell ,Liberty Bell ,Limo Bus ,Funeral ,No ,Medium ,Religous - New ,No ,Personal ,Rewards
3/3/10,Cassandra,Fairview,Liberty Bell ,Liberty Bell ,Van ,Graduation ,Yes ,Medium ,Individual - New ,No ,Maintenance ,Invoiced
8/10/6,Fairview,Fairview,Kennywood Park ,Kennywood Park ,Mini Van ,Cruise ,Yes ,Medium ,Religous - New ,Yes ,Health Related ,Personal Credit Card
10/4/6,Jefferson,Liverpool,Dutch Wonderland ,Dutch Wonderland ,Stretch ,Sporting Event ,Yes ,None ,Religous - Existing ,No ,Weather ,Cash
10/12/11,Gilberton,Fairview,Hershey park ,Hershey park ,Hummer Limo ,Private ,Yes ,None ,Corporate - Existing ,No , ,Credit
9/9/10,Adams,Big Run,Kennywood Park ,Kennywood Park ,Mini Van ,Tour ,Yes ,Medium ,Individual - Existing ,Yes ,Maintenance ,Check
1/2/3,Cassandra,Cassandra,Gettysburg ,Gettysburg ,Van ,Funeral ,No ,Medium ,Religous - New ,Yes ,Personal ,Check
10/4/4,Boswell,Big Run,Liberty Bell ,Liberty Bell ,Limo Bus ,Tour ,Yes ,High ,Religous - Existing ,Yes ,Accident ,Credit
1/1/8,East Brady,Cassandra,Sesame Place ,Sesame Place ,Towne Car ,Wedding ,Yes ,Low ,Religous - Existing ,No ,Maintenance ,Credit
5/1/7,Yorkana,Fairview,lost river caverns ,lost river caverns ,Towne Car ,Funeral ,Yes ,Low ,Individual - New ,Yes ,Moving or Traffic Violation ,Cash
12/1/12,Cassandra,Big Run,Dorney Park ,Dorney Park ,Church Bus ,Corporate ,Yes ,High ,Corporate - New ,No , ,Credit
11/12/2,Big Run,Boswell,Dutch Wonderland ,Dutch Wonderland ,Green Limo ,Holiday ,Yes ,None ,Religous - New ,Yes ,Moving or Traffic Violation ,Credit
4/7/11,New Paris,Boswell,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Green Limo ,Tour ,Yes ,High ,School District - Existing ,No , ,Invoiced
10/11/1,Adams,Jefferson,Hershey park ,Hershey park ,Ford Excursion ,Corporate ,No ,Medium ,Religous - Existing ,Yes ,Weather ,Credit
8/5/1,Adams,Adams,Hershey park ,Hershey park ,Van ,Private ,Yes ,High ,Corporate - Existing ,No ,Driver Error or Miscalculation ,Credit
10/6/1,Cassandra,Yorkana,Dutch Wonderland ,Dutch Wonderland ,School Bus ,Sporting Event ,No ,High ,Corporate - Existing ,Yes ,Weather ,Check
8/3/1,Adams,Jefferson,Hershey park ,Hershey park ,School Bus ,Private ,Yes ,None ,School District - New ,No ,Accident ,Rewards
10/2/7,Yorkana,Big Run,Dutch Wonderland ,Dutch Wonderland ,Sedan ,Birthday ,Yes ,Medium ,Corporate - New ,Yes ,Driver Error or Miscalculation ,Credit
3/7/5,Liverpool,New Paris,Kennywood Park ,Kennywood Park ,Van ,Tour ,No ,None ,Corporate - Existing ,No ,Weather ,Credit
12/10/9,Fairview,New Paris,Hershey park ,Hershey park ,Towne Car ,Cruise ,Yes ,High ,Religous - New ,Yes ,Maintenance ,Cash
4/12/12,Liverpool,Boswell,Gettysburg ,Gettysburg ,Van ,Holiday ,Yes ,Low ,Individual - New ,No ,Weather ,Cash
5/3/6,East Brady,East Brady,Dutch Wonderland ,Dutch Wonderland ,Church Bus ,Wedding ,Yes ,Medium ,Corporate - Existing ,Yes ,Health Related ,Invoiced
12/5/12,Liverpool,Cassandra,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Stretch ,Tour ,Yes ,None ,Religous - Existing ,No ,Accident ,Rewards
4/10/11,Fairview,Liverpool,Philadelphia Zoo ,Philadelphia Zoo ,Mini Van ,Private ,Yes ,High ,School District - New ,No ,Health Related ,Credit
2/7/5,McVeytown,Liverpool,Liberty Bell ,Liberty Bell ,Mini Van ,Travel/Airport ,No ,Medium ,Individual - New ,No ,Maintenance ,Rewards
6/2/10,Big Run,Gilberton,Dorney Park ,Dorney Park ,Van ,Birthday ,Yes ,None ,School District - Existing ,No ,Accident ,Rewards
4/11/7,Yorkana,Yorkana,Kennywood Park ,Kennywood Park ,Limo Bus ,Travel/Airport ,No ,High ,School District - Existing ,No ,Maintenance ,Invoiced
8/10/8,Liverpool,East Brady,lost river caverns ,lost river caverns ,Sedan ,Cruise ,No ,Low ,Religous - New ,Yes ,Accident ,Check
3/3/3,East Brady,Cassandra,Dorney Park ,Dorney Park ,Green Limo ,Sporting Event ,No ,High ,Corporate - Existing ,Yes ,Driver Error or Miscalculation ,Invoiced
7/10/12,New Paris,Cassandra,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Towne Car ,Anniversary ,Yes ,None ,Corporate - New ,Yes ,Health Related ,Rewards
10/9/4,Adams,Big Run,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Hummer Limo ,Cruise ,No ,Medium ,School District - New ,Yes ,Weather ,Rewards
4/7/9,Yorkana,Adams,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Min Bus ,Anniversary ,No ,High ,Corporate - New ,Yes , ,Personal Credit Card
5/4/12,Boswell,Big Run,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Sedan ,Wedding ,Yes ,None ,School District - Existing ,No , ,Cash
11/5/1,Jefferson,Adams,Hershey park ,Hershey park ,Limo Bus ,Holiday ,Yes ,None ,Individual - New ,No ,Personal ,Cash
7/1/5,Gilberton,Fairview,Kennywood Park ,Kennywood Park ,Green Limo ,Travel/Airport ,No ,High ,Corporate - Existing ,Yes ,Health Related ,Personal Credit Card
5/7/8,Jefferson,Adams,lost river caverns ,lost river caverns ,Min Bus ,Corporate ,No ,High ,Corporate - Existing ,Yes , ,Check
5/3/4,Liverpool,Adams,Waldameer and Water World ,Waldameer and Water World ,Towne Car ,Cruise ,Yes ,Medium ,Corporate - New ,Yes ,Personal ,Credit
10/6/8,Big Run,Cassandra,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Mini Van ,Holiday ,Yes ,Low ,Religous - New ,Yes ,Weather ,Cash
2/5/5,Boswell,Boswell,Sesame Place ,Sesame Place ,Sedan ,Anniversary ,Yes ,High ,Corporate - New ,No ,Moving or Traffic Violation ,Rewards
10/9/1,Gilberton,Yorkana,Kennywood Park ,Kennywood Park ,Limo Bus ,Anniversary ,Yes ,None ,School District - Existing ,No ,Maintenance ,Invoiced
5/10/11,Gilberton,Boswell,Hershey park ,Hershey park ,Stretch ,Tour ,Yes ,Medium ,Individual - New ,No ,Accident ,Cash
7/5/7,Big Run,Liverpool,lost river caverns ,lost river caverns ,Hummer Limo ,Private ,No ,None ,Corporate - New ,Yes ,Health Related ,Credit
10/3/3,Fairview,Yorkana,Liberty Bell ,Liberty Bell ,Min Bus ,Holiday ,No ,Medium ,Religous - Existing ,No ,Driver Error or Miscalculation ,Credit
2/4/6,Boswell,Jefferson,Liberty Bell ,Liberty Bell ,Limo Bus ,Wedding ,Yes ,High ,Religous - New ,No ,Accident ,Check
6/8/2,Cassandra,Cassandra,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Van ,Anniversary ,No ,Low ,Corporate - New ,Yes ,Health Related ,Check
11/4/3,Boswell,Cassandra,Hershey park ,Hershey park ,Stretch ,Corporate ,Yes ,None ,Individual - Existing ,No ,Health Related ,Rewards
8/4/4,Jefferson,Fairview,Philadelphia Zoo ,Philadelphia Zoo ,School Bus ,Cruise ,No ,Low ,Individual - Existing ,Yes ,Maintenance ,Credit
9/12/4,Cassandra,Big Run,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Church Bus ,Sporting Event ,No ,High ,Individual - Existing ,No ,Driver Error or Miscalculation ,Rewards
1/12/8,New Paris,Liverpool,Gettysburg ,Gettysburg ,School Bus ,Holiday ,Yes ,Low ,Corporate - New ,No ,Moving or Traffic Violation ,Personal Credit Card
3/10/9,Big Run,Fairview,Philadelphia Zoo ,Philadelphia Zoo ,Ford Excursion ,Travel/Airport ,No ,Medium ,Individual - New ,No ,Health Related ,Invoiced
8/2/4,Jefferson,Jefferson,Dutch Wonderland ,Dutch Wonderland ,Green Limo ,Holiday ,Yes ,High ,Religous - Existing ,No ,Personal ,Credit
4/1/4,Fairview,Jefferson,Sesame Place ,Sesame Place ,Stretch ,Travel/Airport ,No ,None ,School District - Existing ,Yes ,Driver Error or Miscalculation ,Rewards
7/8/3,McVeytown,Fairview,Sesame Place ,Sesame Place ,Van ,Anniversary ,No ,None ,Religous - Existing ,Yes , ,Check
10/4/10,Cassandra,Cassandra,lost river caverns ,lost river caverns ,Hummer Limo ,Funeral ,Yes ,Medium ,School District - Existing ,No ,Maintenance ,Check
4/1/8,Cassandra,Adams,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Church Bus ,Birthday ,Yes ,None ,Religous - New ,Yes ,Accident ,Credit
12/10/5,McVeytown,Adams,Sesame Place ,Sesame Place ,Towne Car ,Private ,No ,High ,Corporate - New ,No ,Accident ,Rewards
11/5/1,Gilberton,Big Run,Waldameer and Water World ,Waldameer and Water World ,Hummer Limo ,Graduation ,No ,None ,School District - Existing ,No ,Accident ,Check
8/5/5,Liverpool,Boswell,Sesame Place ,Sesame Place ,Mini Van ,Cruise ,Yes ,High ,Religous - New ,No ,Health Related ,Invoiced
12/9/3,New Paris,Cassandra,Waldameer and Water World ,Waldameer and Water World ,Green Limo ,Graduation ,No ,High ,School District - Existing ,Yes ,Personal ,Check
8/9/12,Adams,Jefferson,Sesame Place ,Sesame Place ,Ford Excursion ,Cruise ,No ,High ,Individual - Existing ,No ,Weather ,Rewards
8/10/9,McVeytown,Boswell,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Hummer Limo ,Private ,Yes ,Medium ,Religous - Existing ,No ,Health Related ,Invoiced
1/10/8,Adams,McVeytown,Dutch Wonderland ,Dutch Wonderland ,Hummer Limo ,Birthday ,Yes ,High ,Religous - Existing ,Yes ,Accident ,Cash
11/7/10,Yorkana,Big Run,Philadelphia Zoo ,Philadelphia Zoo ,Towne Car ,Corporate ,No ,None ,School District - Existing ,Yes ,Driver Error or Miscalculation ,Cash
3/2/10,Yorkana,Yorkana,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,School Bus ,Sporting Event ,No ,Medium ,Corporate - Existing ,No ,Driver Error or Miscalculation ,Invoiced
1/8/7,Liverpool,Yorkana,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Limo Bus ,Travel/Airport ,No ,High ,Corporate - New ,Yes ,Weather ,Personal Credit Card
7/2/2,Big Run,Gilberton,Sesame Place ,Sesame Place ,Van ,Sporting Event ,Yes ,Low ,Individual - Existing ,No ,Moving or Traffic Violation ,Check
1/1/7,Liverpool,New Paris,Dutch Wonderland ,Dutch Wonderland ,Stretch ,Tour ,No ,Medium ,Religous - New ,Yes ,Personal ,Check
4/2/6,New Paris,Yorkana,Sesame Place ,Sesame Place ,Ford Excursion ,Private ,No ,Medium ,Individual - Existing ,No , ,Personal Credit Card
11/6/6,Cassandra,East Brady,Liberty Bell ,Liberty Bell ,Sedan ,Birthday ,No ,None ,School District - Existing ,Yes ,Maintenance ,Cash
5/11/7,Liverpool,Gilberton,Liberty Bell ,Liberty Bell ,Stretch ,Funeral ,No ,High ,Corporate - New ,No ,Maintenance ,Check
3/4/11,New Paris,Big Run,Gettysburg ,Gettysburg ,Mini Van ,Funeral ,No ,Medium ,School District - Existing ,No ,Driver Error or Miscalculation ,Credit
3/11/8,Gilberton,Boswell,Dorney Park ,Dorney Park ,Ford Excursion ,Cruise ,Yes ,None ,Religous - Existing ,Yes ,Driver Error or Miscalculation ,Personal Credit Card
1/1/10,McVeytown,Cassandra,Kennywood Park ,Kennywood Park ,Limo Bus ,Corporate ,Yes ,High ,Religous - New ,No ,Moving or Traffic Violation ,Rewards
4/3/9,Liverpool,McVeytown,Gettysburg ,Gettysburg ,Hummer Limo ,Funeral ,Yes ,High ,School District - Existing ,No , ,Invoiced
1/7/3,Liverpool,Gilberton,Kennywood Park ,Kennywood Park ,Towne Car ,Sporting Event ,No ,None ,Individual - Existing ,Yes ,Personal ,Personal Credit Card
8/1/10,Boswell,McVeytown,Philadelphia Zoo ,Philadelphia Zoo ,School Bus ,Anniversary ,No ,High ,Individual - Existing ,No ,Health Related ,Cash
8/12/11,Liverpool,McVeytown,lost river caverns ,lost river caverns ,Min Bus ,Travel/Airport ,Yes ,High ,Individual - Existing ,Yes , ,Cash
3/6/1,New Paris,East Brady,Kennywood Park ,Kennywood Park ,Limo Bus ,Holiday ,No ,Low ,School District - Existing ,Yes ,Health Related ,Check
8/1/7,Yorkana,Cassandra,Hershey park ,Hershey park ,School Bus ,Wedding ,Yes ,Low ,School District - Existing ,No ,Moving or Traffic Violation ,Invoiced
1/11/11,Gilberton,McVeytown,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Min Bus ,Travel/Airport ,No ,High ,Individual - Existing ,Yes , ,Cash
8/5/10,Boswell,East Brady,Kennywood Park ,Kennywood Park ,School Bus ,Travel/Airport ,Yes ,High ,Corporate - New ,No ,Maintenance ,Invoiced
11/11/12,Adams,Yorkana,Liberty Bell ,Liberty Bell ,Van ,Cruise ,No ,High ,Individual - Existing ,No ,Accident ,Rewards
9/7/2,Yorkana,Fairview,Dorney Park ,Dorney Park ,Limo Bus ,Private ,No ,Medium ,Religous - Existing ,Yes ,Maintenance ,Cash
1/3/10,Yorkana,Fairview,Sesame Place ,Sesame Place ,Van ,Private ,No ,None ,Individual - New ,Yes , ,Rewards
1/8/2,Big Run,Big Run,Gettysburg ,Gettysburg ,Hummer Limo ,Travel/Airport ,No ,High ,Corporate - New ,No ,Health Related ,Rewards
5/8/6,East Brady,Adams,lost river caverns ,lost river caverns ,School Bus ,Sporting Event ,No ,High ,Religous - Existing ,Yes ,Driver Error or Miscalculation ,Rewards
10/5/11,McVeytown,Yorkana,Kennywood Park ,Kennywood Park ,Min Bus ,Sporting Event ,No ,None ,Religous - New ,No ,Personal ,Credit
8/2/6,Liverpool,Liverpool,Gettysburg ,Gettysburg ,Towne Car ,Private ,Yes ,Low ,Corporate - Existing ,Yes ,Personal ,Invoiced
1/3/8,Cassandra,Cassandra,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Towne Car ,Funeral ,No ,High ,Individual - New ,Yes ,Accident ,Check
3/6/12,New Paris,Big Run,Hershey park ,Hershey park ,Ford Excursion ,Birthday ,No ,High ,Individual - New ,Yes ,Driver Error or Miscalculation ,Invoiced
12/7/4,McVeytown,Gilberton,Gettysburg ,Gettysburg ,School Bus ,Private ,Yes ,High ,Individual - Existing ,Yes ,Accident ,Cash
2/5/9,McVeytown,Cassandra,lost river caverns ,lost river caverns ,Hummer Limo ,Holiday ,Yes ,High ,School District - New ,Yes , ,Cash
1/11/2,New Paris,Adams,Dorney Park ,Dorney Park ,Limo Bus ,Cruise ,No ,Low ,Corporate - Existing ,No ,Moving or Traffic Violation ,Rewards
6/2/8,Fairview,Gilberton,lost river caverns ,lost river caverns ,Mini Van ,Anniversary ,No ,None ,Religous - New ,Yes ,Health Related ,Credit
5/8/8,Cassandra,New Paris,Sesame Place ,Sesame Place ,Hummer Limo ,Funeral ,Yes ,Medium ,School District - Existing ,No ,Personal ,Rewards
4/3/3,Boswell,Cassandra,Dorney Park ,Dorney Park ,Church Bus ,Corporate ,Yes ,Medium ,School District - Existing ,No ,Maintenance ,Invoiced
6/4/6,Gilberton,Cassandra,Kennywood Park ,Kennywood Park ,Stretch ,Corporate ,Yes ,Low ,Corporate - Existing ,Yes ,Moving or Traffic Violation ,Personal Credit Card
2/8/12,Adams,Cassandra,Dutch Wonderland ,Dutch Wonderland ,Limo Bus ,Sporting Event ,Yes ,High ,Religous - Existing ,No ,Personal ,Credit
