Session ID,DateTime Stamp,IP Address,Advertisement ID Viewed,Product ID Viewed,Information Link ID Viewed,Product ID Added to Cart,Product ID Purchased,Payment Method,User Has Account,First Time Buyer,Repeat Buyer,Coupon Used,Mobile Device Used,Dollar Amount,Dollar Amount Sold,Sex,Age Range,Married,Ethnic,Employed,Student,Education,Income Range,Gift Card Used,Purchased as Gift,Occupation,Own Home,Hobby/Interest,Health
0000000001,8/27/2018 10:09,10.1.12.1,Drones,Mens fashion accessories,Deal of The Day,Phone power banks,Welcome,Debit,YES,YES,YES,YES,NO,739.00,196.00,Female,45-54 years old,Separated,Native Americans and Alaska Natives,YES,YES,Master’s degree,200001 and above,YES,NO,Management professional and related,NO,Bible/devotional reading,Health
0000000001,8/27/2018 10:09,10.1.13.1,Gluten-free products,Waterproof phone cases,Mission,Fairy lights,Mens fashion accessories,MasterCard,YES,NO,NO,YES,NO,885.00,528.00,Female,45-54 years old,Widowed,Asian Americans,NO,YES,Professional degree,150001 to 200000,NO,NO,Service,NO,Crafts,Health
0000000001,8/27/2018 10:09,10.1.14.1,Drones,Fitness trackers,Mission,Mens fashion accessories,Welcome,MasterCard,YES,NO,YES,NO,YES,558.00,252.00,Male,Under 12 years old,Single never married,Native Americans and Alaska Natives,YES,YES,Some high school no diploma,150001 to 200000,YES,YES,Service,NO,Money making opportunities,Health
0000000001,8/27/2018 10:09,10.1.15.1,Mens fashion accessories,3D printers,Your Recommendations,Wood frame sunglasses,3D printers,Gift Card,YES,NO,NO,NO,NO,134.00,148.00,Male,65-74 years old,Separated,Hispanic and Latino Americans,NO,NO,Associate degree,30001 to 50000,NO,YES,Service,YES,Book reading,Health
0000000001,8/27/2018 10:09,10.1.16.1,3D printers,The charcoal face mask,Returns,Mens fashion accessories,Gluten-free products,PayPal,YES,NO,YES,NO,YES,385.00,348.00,Female,75 years or older,Married or domestic partnership,Middle Easterners and North Africans,NO,YES,Some high school no diploma,100001 to 150000,NO,NO,Production transportation and material moving,NO,Bible/devotional reading,Health
0000000001,8/27/2018 10:09,10.1.17.1,Wood frame sunglasses,Liquid phone cases,Deal of The Day,Coconut oil,Coconut oil,MasterCard,YES,YES,NO,YES,NO,904.00,373.00,Male,12-17 years old,Single never married,Asian Americans,NO,YES,,50001 to 75000,YES,YES,Natural resources construction and maintenance,YES,Camping,Health
0000000001,8/27/2018 10:09,10.1.18.1,3D printers,Gluten-free products,Returns,Liquid phone cases,Liquid phone cases,Debit,NO,YES,YES,NO,YES,650.00,34.00,Male,45-54 years old,Single never married,Middle Easterners and North Africans,YES,NO,Professional degree,100001 to 150000,YES,YES,Management professional and related,NO,Watching sports on TV,Health
0000000001,8/27/2018 10:09,10.1.19.1,Baby products,Coconut oil,About,Mens fashion accessories,Gluten-free products,PayPal,NO,YES,NO,YES,YES,760.00,85.00,Female,35-44 years old,Married or domestic partnership,Middle Easterners and North Africans,YES,YES,Bachelor’s degree,75001 to 100000,NO,YES,Sales and office,NO,Charities/volunteer work,Health
0000000001,8/27/2018 10:09,10.1.20.1,Coconut oil,Phone power banks,About,Drones,Gluten-free products,PayPal,YES,YES,NO,YES,NO,732.00,595.00,Male,55-64 years old,Married or domestic partnership,White and European Americans,NO,YES,,200001 and above,YES,NO,Service,NO,Wildlife/environment issues,Health
0000000001,8/27/2018 10:09,10.1.21.1,The charcoal face mask,Waterproof phone cases,Deal of The Day,Welcome,Welcome,MasterCard,YES,NO,NO,NO,NO,26.00,216.00,Male,35-44 years old,Widowed,Hispanic and Latino Americans,NO,NO,,50001 to 75000,NO,YES,Sales and office,YES,Money making opportunities,Health
0000000001,8/27/2018 10:09,10.1.22.1,3D printers,Fairy lights,Help,Baby products,Drones,PayPal,YES,YES,YES,NO,YES,342.00,871.00,Male,45-54 years old,Divorced,White and European Americans,NO,NO,,75001 to 100000,NO,YES,Sales and office,NO,Art/antiques,Health
0000000001,8/27/2018 10:09,10.1.23.1,Drones,Fairy lights,Help,Enamel pins,Wood frame sunglasses,MasterCard,NO,YES,NO,YES,YES,20.00,13.00,Female,18-24 years old,Married or domestic partnership,Hispanic and Latino Americans,NO,YES,Doctorate degree,0 - 30000,YES,NO,Sales and office,YES,Compact discs,Health
0000000001,8/27/2018 10:09,10.1.24.1,Mens fashion accessories,Baby products,Deal of The Day,Phone power banks,Coconut oil,PayPal,YES,YES,YES,NO,YES,287.00,253.00,Male,Under 12 years old,Divorced,Asian Americans,NO,YES,,150001 to 200000,YES,NO,Natural resources construction and maintenance,YES,Physical fitness/exercise,Health
0000000001,8/27/2018 10:09,10.1.25.1,Drones,Fitness trackers,Your Recommendations,Gluten-free products,The charcoal face mask,Visa,YES,YES,NO,NO,NO,807.00,466.00,Female,25-34 years old,Single never married,Middle Easterners and North Africans,YES,NO,No schooling completed,30001 to 50000,YES,YES,Management professional and related,YES,Sewing,Health
0000000001,8/27/2018 10:09,10.1.26.1,Bluetooth speakers,Liquid phone cases,Cart,The charcoal face mask,Waterproof phone cases,Debit,NO,NO,NO,NO,NO,830.00,885.00,Male,45-54 years old,Widowed,Middle Easterners and North Africans,NO,NO,,75001 to 100000,NO,NO,Production transportation and material moving,NO,Coin/stamp collecting,Health
0000000001,8/27/2018 10:09,10.1.27.1,Gluten-free products,Mens fashion accessories,Deal of The Day,The charcoal face mask,Fitness trackers,PayPal,YES,YES,NO,NO,YES,764.00,367.00,Male,Under 12 years old,Married or domestic partnership,Middle Easterners and North Africans,YES,YES,,50001 to 75000,NO,NO,Sales and office,NO,Outdoor gardening,Health
0000000001,8/27/2018 10:09,10.1.28.1,Gluten-free products,Wood frame sunglasses,Your Account,Phone power banks,Waterproof phone cases,Visa,YES,YES,NO,YES,YES,130.00,997.00,Female,65-74 years old,Divorced,Black and African Americans,YES,YES,,75001 to 100000,NO,YES,Service,YES,Foreign travel,Health
0000000001,8/27/2018 10:09,10.1.29.1,Matcha Powder,Enamel pins,Mission,Coconut oil,Baby products,Debit,NO,NO,NO,YES,NO,53.00,822.00,Female,65-74 years old,Widowed,Native Hawaiians and other Pacific Islanders,YES,NO,Nursery school to 8th grade,50001 to 75000,YES,NO,Natural resources construction and maintenance,YES,Gourmet/fine food,Health
0000000001,8/27/2018 10:09,10.1.30.1,Coconut oil,Mens fashion accessories,Legal Disclaimer,Baby products,The charcoal face mask,Debit,NO,YES,NO,NO,YES,48.00,932.00,Male,12-17 years old,Single never married,White and European Americans,NO,NO,Master’s degree,150001 to 200000,NO,YES,Management professional and related,YES,Health foods/vitamins,Health
0000000001,8/27/2018 10:09,10.1.31.1,Welcome,Bluetooth speakers,Returns,Fitness trackers,Coconut oil,Gift Card,NO,YES,YES,YES,NO,470.00,906.00,Male,45-54 years old,Widowed,Native Hawaiians and other Pacific Islanders,NO,NO,Master’s degree,30001 to 50000,NO,YES,Management professional and related,YES,Book reading,Health
0000000001,8/27/2018 10:09,10.1.32.1,Bluetooth speakers,Mens fashion accessories,Your Orders,Phone power banks,Wood frame sunglasses,MasterCard,NO,YES,NO,NO,YES,100.00,721.00,Female,55-64 years old,Divorced,Asian Americans,NO,NO,Master’s degree,150001 to 200000,NO,YES,Production transportation and material moving,YES,Recreational vehicles,Health
0000000001,8/27/2018 10:09,10.1.33.1,Fairy lights,Drones,Your Account,Waterproof phone cases,Wood frame sunglasses,Gift Card,YES,YES,YES,NO,NO,990.00,762.00,Male,35-44 years old,Widowed,Hispanic and Latino Americans,YES,NO,Associate degree,150001 to 200000,NO,YES,Sales and office,NO,Other,Health
0000000001,8/27/2018 10:09,10.1.34.1,Welcome,The charcoal face mask,Deal of The Day,Fairy lights,Enamel pins,Visa,YES,NO,NO,YES,YES,11.00,145.00,Male,12-17 years old,Separated,Native Americans and Alaska Natives,YES,NO,Professional degree,30001 to 50000,NO,YES,Natural resources construction and maintenance,NO,Art/antiques,Health
0000000001,8/27/2018 10:09,10.1.35.1,Gluten-free products,Fitness trackers,Returns,Waterproof phone cases,Coconut oil,Visa,NO,NO,YES,NO,YES,840.00,421.00,Female,35-44 years old,Widowed,Middle Easterners and North Africans,NO,YES,No schooling completed,200001 and above,NO,YES,Sales and office,YES,Sweepstakes,Health
0000000001,8/27/2018 10:09,10.1.36.1,Phone power banks,3D printers,Your List,Baby products,Wood frame sunglasses,Visa,YES,NO,YES,YES,NO,754.00,845.00,Male,25-34 years old,Widowed,Asian Americans,NO,NO,Doctorate degree,75001 to 100000,YES,YES,Natural resources construction and maintenance,NO,Book reading,Health
0000000001,8/27/2018 10:09,10.1.37.1,Drones,The charcoal face mask,About,Baby products,3D printers,Gift Card,YES,YES,NO,YES,YES,88.00,6.00,Female,55-64 years old,Widowed,Middle Easterners and North Africans,YES,YES,,75001 to 100000,YES,NO,Sales and office,YES,Needlework/knitting,Health
0000000001,8/27/2018 10:09,10.1.38.1,Fitness trackers,Baby products,Your Orders,Drones,Liquid phone cases,PayPal,YES,NO,NO,NO,YES,406.00,226.00,Female,35-44 years old,Divorced,Black and African Americans,YES,YES,Professional degree,75001 to 100000,NO,YES,Service,YES,Foreign travel,Health
0000000001,8/27/2018 10:09,10.1.39.1,3D printers,Coconut oil,Your List,Liquid phone cases,Waterproof phone cases,Debit,YES,NO,YES,NO,NO,608.00,54.00,Female,65-74 years old,Married or domestic partnership,Native Hawaiians and other Pacific Islanders,YES,NO,Trade/technical/vocational training,75001 to 100000,NO,YES,Service,NO,Watching sports on TV,Health
0000000001,8/27/2018 10:09,10.1.40.1,Liquid phone cases,Wood frame sunglasses,About,Waterproof phone cases,Welcome,PayPal,NO,YES,YES,NO,YES,518.00,997.00,Female,35-44 years old,Divorced,White and European Americans,YES,YES,,50001 to 75000,YES,YES,Sales and office,YES,Crafts,Health
0000000001,8/27/2018 10:09,10.1.41.1,3D printers,Drones,Contact Us,Bluetooth speakers,Baby products,PayPal,YES,YES,YES,YES,YES,658.00,643.00,Male,25-34 years old,Widowed,Hispanic and Latino Americans,YES,NO,Trade/technical/vocational training,0 - 30000,YES,YES,Service,NO,Camping,Health
0000000001,8/27/2018 10:09,10.1.42.1,3D printers,Enamel pins,About,Baby products,Fairy lights,Visa,NO,YES,YES,NO,YES,979.00,647.00,Male,18-24 years old,Single never married,Native Hawaiians and other Pacific Islanders,YES,NO,No schooling completed,200001 and above,YES,YES,Management professional and related,YES,Stereo/records and tapes,Health
0000000001,8/27/2018 10:09,10.1.43.1,3D printers,Welcome,Your Recommendations,Enamel pins,Wood frame sunglasses,Debit,NO,YES,YES,NO,YES,288.00,360.00,Male,65-74 years old,Widowed,White and European Americans,NO,NO,Bachelor’s degree,100001 to 150000,YES,NO,Service,YES,Coin/stamp collecting,Health
0000000001,8/27/2018 10:09,10.1.44.1,The charcoal face mask,3D printers,Legal Disclaimer,Fitness trackers,Welcome,PayPal,YES,YES,NO,YES,NO,381.00,881.00,Male,Under 12 years old,Separated,Native Americans and Alaska Natives,NO,YES,Nursery school to 8th grade,100001 to 150000,NO,NO,Management professional and related,NO,Physical fitness/exercise,Health
0000000001,8/27/2018 10:09,10.1.45.1,Bluetooth speakers,3D printers,Help,Bluetooth speakers,Wood frame sunglasses,PayPal,YES,YES,YES,NO,NO,815.00,844.00,Female,65-74 years old,Widowed,Black and African Americans,YES,NO,Some high school no diploma,150001 to 200000,NO,YES,Sales and office,NO,Physical fitness/exercise,Health
0000000001,8/27/2018 10:09,10.1.46.1,Phone power banks,Wood frame sunglasses,Shipping,Fitness trackers,Liquid phone cases,Debit,YES,YES,YES,YES,NO,948.00,559.00,Male,Under 12 years old,Widowed,Asian Americans,YES,YES,Some high school no diploma,100001 to 150000,NO,NO,Sales and office,YES,Needlework/knitting,Health
0000000001,8/27/2018 10:09,10.1.47.1,Fairy lights,Matcha Powder,Deal of The Day,Enamel pins,Liquid phone cases,Debit,YES,YES,YES,NO,YES,415.00,935.00,Female,12-17 years old,Widowed,White and European Americans,YES,NO,Doctorate degree,0 - 30000,NO,NO,Sales and office,YES,Health foods/vitamins,Health
0000000001,8/27/2018 10:09,10.1.48.1,Fitness trackers,Matcha Powder,Contact Us,Bluetooth speakers,Baby products,Visa,YES,YES,NO,YES,YES,385.00,82.00,Female,Under 12 years old,Single never married,Asian Americans,NO,NO,Bachelor’s degree,150001 to 200000,NO,YES,Production transportation and material moving,YES,Outdoor gardening,Health
0000000001,8/27/2018 10:09,10.1.49.1,Wood frame sunglasses,Bluetooth speakers,Your List,Liquid phone cases,3D printers,Gift Card,YES,YES,NO,NO,YES,238.00,365.00,Male,75 years or older,Married or domestic partnership,White and European Americans,YES,YES,Doctorate degree,150001 to 200000,NO,NO,Natural resources construction and maintenance,YES,Fashion clothing,Health
0000000001,8/27/2018 10:09,10.1.50.1,Phone power banks,Fairy lights,Mission,Mens fashion accessories,Mens fashion accessories,MasterCard,NO,YES,YES,YES,NO,556.00,814.00,Male,25-34 years old,Widowed,Black and African Americans,YES,NO,Trade/technical/vocational training,100001 to 150000,YES,NO,Sales and office,NO,Physical fitness/exercise,Health
0000000001,8/27/2018 10:09,10.1.51.1,Welcome,Bluetooth speakers,Help,Fitness trackers,Enamel pins,Visa,YES,YES,NO,YES,YES,326.00,68.00,Female,65-74 years old,Separated,Hispanic and Latino Americans,NO,NO,Trade/technical/vocational training,100001 to 150000,YES,NO,Production transportation and material moving,NO,Compact discs,Health
0000000001,8/27/2018 10:09,10.1.52.1,Fairy lights,Welcome,Mission,The charcoal face mask,Enamel pins,MasterCard,YES,NO,NO,YES,NO,643.00,367.00,Female,25-34 years old,Widowed,Asian Americans,YES,YES,,50001 to 75000,YES,YES,Natural resources construction and maintenance,YES,Bible/devotional reading,Health
0000000001,8/27/2018 10:09,10.1.53.1,Drones,Wood frame sunglasses,Your List,Phone power banks,Coconut oil,PayPal,NO,NO,YES,NO,NO,672.00,621.00,Male,35-44 years old,Single never married,White and European Americans,YES,YES,Some high school no diploma,200001 and above,NO,YES,Natural resources construction and maintenance,NO,Video cassette recordings,Health
0000000001,8/27/2018 10:09,10.1.54.1,Gluten-free products,Enamel pins,Your List,Waterproof phone cases,3D printers,Visa,YES,NO,YES,YES,NO,607.00,788.00,Female,65-74 years old,Single never married,Native Hawaiians and other Pacific Islanders,NO,NO,Associate degree,30001 to 50000,NO,YES,Natural resources construction and maintenance,YES,Do-it-Yourself/workshop,Health
0000000001,8/27/2018 10:09,10.1.55.1,Bluetooth speakers,Liquid phone cases,Legal Disclaimer,Mens fashion accessories,Drones,Gift Card,NO,YES,NO,YES,YES,972.00,988.00,Female,18-24 years old,Widowed,Native Hawaiians and other Pacific Islanders,YES,NO,Associate degree,75001 to 100000,YES,NO,Natural resources construction and maintenance,NO,Outdoor gardening,Health
0000000001,8/27/2018 10:09,10.1.56.1,Fitness trackers,Matcha Powder,Legal Disclaimer,Baby products,3D printers,Debit,YES,YES,YES,NO,YES,945.00,608.00,Female,25-34 years old,Widowed,Hispanic and Latino Americans,NO,YES,Doctorate degree,200001 and above,NO,YES,Management professional and related,YES,Self improvement,Health
0000000001,8/27/2018 10:09,10.1.57.1,Baby products,Fairy lights,Contact Us,Bluetooth speakers,Coconut oil,Debit,NO,YES,NO,YES,NO,454.00,520.00,Female,25-34 years old,Separated,Asian Americans,YES,YES,Master’s degree,0 - 30000,NO,YES,Sales and office,YES,Recreational vehicles,Health
0000000001,8/27/2018 10:09,10.1.58.1,The charcoal face mask,Gluten-free products,Deal of The Day,Gluten-free products,Fitness trackers,Visa,NO,YES,NO,NO,YES,833.00,874.00,Female,55-64 years old,Separated,Native Hawaiians and other Pacific Islanders,YES,YES,Trade/technical/vocational training,75001 to 100000,YES,NO,Service,YES,Sewing,Health
0000000001,8/27/2018 10:09,10.1.59.1,Fairy lights,Fairy lights,Returns,Waterproof phone cases,Waterproof phone cases,Visa,NO,YES,YES,YES,NO,627.00,887.00,Female,25-34 years old,Single never married,Hispanic and Latino Americans,YES,YES,No schooling completed,0 - 30000,YES,NO,Service,NO,Do-it-Yourself/workshop,Health
0000000001,8/27/2018 10:09,10.1.60.1,The charcoal face mask,Fitness trackers,Legal Disclaimer,Bluetooth speakers,Fairy lights,Visa,YES,YES,NO,NO,NO,937.00,848.00,Male,35-44 years old,Separated,Asian Americans,NO,YES,Professional degree,200001 and above,NO,YES,Service,YES,Needlework/knitting,Health
0000000001,8/27/2018 10:09,10.1.61.1,Liquid phone cases,Bluetooth speakers,Contact Us,Fairy lights,Fairy lights,Gift Card,NO,NO,NO,YES,YES,600.00,960.00,Female,65-74 years old,Widowed,Native Americans and Alaska Natives,YES,YES,Trade/technical/vocational training,150001 to 200000,YES,YES,Service,YES,Compact discs,Health
0000000001,8/27/2018 10:09,10.1.62.1,Bluetooth speakers,Bluetooth speakers,About,Bluetooth speakers,Fairy lights,MasterCard,NO,NO,YES,YES,YES,967.00,62.00,Female,75 years or older,Separated,White and European Americans,YES,YES,Doctorate degree,50001 to 75000,YES,YES,Service,NO,Money making opportunities,Health
0000000001,8/27/2018 10:09,10.1.63.1,Drones,Coconut oil,Contact Us,Baby products,Fitness trackers,Visa,YES,NO,NO,NO,YES,327.00,957.00,Male,Under 12 years old,Widowed,Native Americans and Alaska Natives,YES,YES,,150001 to 200000,YES,NO,Natural resources construction and maintenance,YES,Physical fitness/exercise,Health
0000000001,8/27/2018 10:09,10.1.64.1,Baby products,The charcoal face mask,Shipping,Welcome,Wood frame sunglasses,PayPal,YES,YES,YES,NO,YES,490.00,367.00,Female,Under 12 years old,Divorced,Hispanic and Latino Americans,NO,YES,Trade/technical/vocational training,200001 and above,YES,YES,Natural resources construction and maintenance,NO,Watching sports on TV,Health
0000000001,8/27/2018 10:09,10.1.65.1,The charcoal face mask,Fairy lights,Deal of The Day,Baby products,Mens fashion accessories,Visa,NO,YES,YES,NO,NO,805.00,957.00,Female,35-44 years old,Married or domestic partnership,White and European Americans,NO,YES,No schooling completed,200001 and above,YES,YES,Management professional and related,NO,Bible/devotional reading,Health
0000000001,8/27/2018 10:09,10.1.66.1,Baby products,Fairy lights,Your List,Bluetooth speakers,Wood frame sunglasses,PayPal,YES,NO,YES,NO,YES,616.00,400.00,Male,35-44 years old,Single never married,Middle Easterners and North Africans,YES,NO,,200001 and above,YES,NO,Service,YES,Sewing,Health
0000000001,8/27/2018 10:09,10.1.67.1,Wood frame sunglasses,Baby products,Your Account,Enamel pins,Coconut oil,PayPal,NO,NO,YES,YES,NO,862.00,977.00,Male,55-64 years old,Divorced,Middle Easterners and North Africans,NO,YES,Doctorate degree,0 - 30000,NO,YES,Natural resources construction and maintenance,YES,Charities/volunteer work,Health
0000000001,8/27/2018 10:09,10.1.68.1,Coconut oil,Wood frame sunglasses,Returns,Wood frame sunglasses,Liquid phone cases,Gift Card,YES,YES,YES,YES,YES,834.00,259.00,Male,45-54 years old,Single never married,Asian Americans,YES,NO,Nursery school to 8th grade,200001 and above,YES,NO,Management professional and related,NO,Health foods/vitamins,Health
0000000001,8/27/2018 10:09,10.1.69.1,Gluten-free products,3D printers,Contact Us,Bluetooth speakers,Fitness trackers,PayPal,NO,NO,YES,YES,NO,887.00,334.00,Male,45-54 years old,Divorced,Asian Americans,NO,YES,Associate degree,30001 to 50000,NO,NO,Sales and office,NO,Stereo/records and tapes,Health
0000000001,8/27/2018 10:09,10.1.70.1,Liquid phone cases,3D printers,Your Recommendations,Drones,Wood frame sunglasses,PayPal,YES,YES,YES,NO,NO,151.00,197.00,Male,45-54 years old,Single never married,Asian Americans,NO,YES,Master’s degree,150001 to 200000,NO,NO,Sales and office,YES,Art/antiques,Health
0000000001,8/27/2018 10:09,10.1.71.1,Baby products,Phone power banks,Contact Us,Matcha Powder,Fitness trackers,PayPal,YES,YES,NO,YES,YES,285.00,295.00,Male,25-34 years old,Married or domestic partnership,Black and African Americans,NO,NO,Doctorate degree,50001 to 75000,NO,YES,Service,YES,Compact discs,Health
0000000001,8/27/2018 10:09,10.1.72.1,Fitness trackers,Welcome,Mission,Wood frame sunglasses,Enamel pins,Debit,YES,YES,NO,NO,NO,562.00,687.00,Male,55-64 years old,Single never married,White and European Americans,NO,NO,,200001 and above,NO,YES,Management professional and related,NO,Crafts,Health
0000000001,8/27/2018 10:09,10.1.73.1,Fitness trackers,Enamel pins,Your Account,Phone power banks,Baby products,Gift Card,YES,NO,YES,NO,NO,430.00,734.00,Female,65-74 years old,Separated,Hispanic and Latino Americans,YES,YES,No schooling completed,200001 and above,YES,NO,Service,NO,Dieting,Health
0000000001,8/27/2018 10:09,10.1.74.1,Coconut oil,Gluten-free products,Your Recommendations,Coconut oil,Mens fashion accessories,Debit,NO,YES,YES,NO,YES,264.00,636.00,Female,25-34 years old,Single never married,Hispanic and Latino Americans,YES,YES,No schooling completed,75001 to 100000,NO,YES,Production transportation and material moving,YES,Wildlife/environment issues,Health
0000000001,8/27/2018 10:09,10.1.75.1,Fitness trackers,Enamel pins,About,Welcome,Coconut oil,Gift Card,YES,YES,YES,NO,NO,88.00,804.00,Female,Under 12 years old,Divorced,Hispanic and Latino Americans,NO,NO,,0 - 30000,YES,NO,Service,NO,Camping,Health
0000000001,8/27/2018 10:09,10.1.76.1,Fairy lights,Liquid phone cases,About,Bluetooth speakers,Gluten-free products,Gift Card,YES,YES,YES,NO,NO,583.00,31.00,Female,65-74 years old,Divorced,Native Hawaiians and other Pacific Islanders,YES,YES,Professional degree,200001 and above,NO,NO,Management professional and related,NO,Book reading,Health
0000000001,8/27/2018 10:09,10.1.77.1,Gluten-free products,Liquid phone cases,Cart,Mens fashion accessories,Coconut oil,Visa,NO,YES,YES,NO,NO,108.00,887.00,Male,25-34 years old,Married or domestic partnership,Hispanic and Latino Americans,YES,YES,,150001 to 200000,NO,YES,Service,YES,Sweepstakes,Health
0000000001,8/27/2018 10:09,10.1.78.1,The charcoal face mask,Welcome,Your List,Fitness trackers,Baby products,MasterCard,NO,YES,YES,NO,NO,985.00,340.00,Female,25-34 years old,Widowed,Middle Easterners and North Africans,YES,YES,No schooling completed,50001 to 75000,NO,YES,Management professional and related,YES,Outdoor gardening,Health
0000000001,8/27/2018 10:09,10.1.79.1,3D printers,Fairy lights,Your Orders,Bluetooth speakers,Matcha Powder,PayPal,YES,NO,YES,YES,NO,753.00,762.00,Female,35-44 years old,Divorced,Asian Americans,NO,NO,Doctorate degree,30001 to 50000,NO,NO,Production transportation and material moving,NO,Art/antiques,Health
0000000001,8/27/2018 10:09,10.1.80.1,3D printers,Enamel pins,Returns,Fairy lights,Gluten-free products,Debit,NO,NO,YES,YES,YES,238.00,427.00,Female,75 years or older,Divorced,White and European Americans,NO,YES,Trade/technical/vocational training,30001 to 50000,YES,YES,Sales and office,NO,Foreign travel,Health
0000000001,8/27/2018 10:09,10.1.81.1,Phone power banks,Welcome,Cart,Fitness trackers,Gluten-free products,PayPal,NO,YES,NO,YES,NO,670.00,541.00,Female,65-74 years old,Separated,Hispanic and Latino Americans,YES,NO,Professional degree,0 - 30000,NO,NO,Production transportation and material moving,NO,Compact discs,Health
0000000001,8/27/2018 10:09,10.1.82.1,Phone power banks,The charcoal face mask,Contact Us,Bluetooth speakers,The charcoal face mask,Visa,NO,YES,YES,NO,YES,154.00,446.00,Female,55-64 years old,Married or domestic partnership,Native Hawaiians and other Pacific Islanders,NO,YES,No schooling completed,0 - 30000,NO,NO,Production transportation and material moving,YES,Art/antiques,Health
0000000001,8/27/2018 10:09,10.1.83.1,Liquid phone cases,Matcha Powder,Your Orders,Wood frame sunglasses,Fairy lights,Gift Card,NO,YES,NO,NO,YES,404.00,280.00,Female,55-64 years old,Widowed,Hispanic and Latino Americans,YES,YES,Associate degree,30001 to 50000,YES,NO,Service,YES,Gourmet/fine food,Health
